"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
"170101010201","Swamp Creek-Lake Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.5952037715347,-115.061784801451
"170101010202","Upper Fortine Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.5315278291949,-114.943145849055
"170101010203","Edna Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.669098175535,-114.994357800036
"170101010204","Middle Fortine Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.6188915661773,-114.901691691016
"170101010205","Deep Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.7876983695843,-114.805339883063
"170101010206","Meadow Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.7440671425663,-114.999081171575
"170101010207","Lower Fortine Creek",1701010102,"Fortine Creek",17010101,"Middle Kootenai",48.7234074686888,-114.863738853711
"170101010301","Upper Grave Creek",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.9006321966598,-114.774741392074
"170101010302","Lower Grave Creek",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.8303440393298,-114.830014121051
"170101010303","Therriault Creek",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.8571771290672,-114.909356121013
"170101010304","Sinclair Creek",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.9022018592821,-114.96196257195
"170101010305","Indian Creek",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.9508713525318,-115.012535341339
"170101010306","Tobacco River",1701010103,"Tobacco Creek",17010101,"Middle Kootenai",48.8648170677577,-115.0236370385
"170101010403","Young Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.9708886105543,-115.33199496172
"170101010404","Phillips Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.9712086407355,-115.05144207189
"170101010405","Dodge Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.9315499477145,-115.29719697612
"170101010406","Sullivan Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.8791594834135,-115.315800938035
"170101010407","Upper Pinkham Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.6889149448898,-115.105722334692
"170101010408","Lower Pinkham Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.7980864716214,-115.134152677561
"170101010409","Lake Koocanusa-Poverty Creek",1701010104,"Young Creek-Pinkham Creek",17010101,"Middle Kootenai",48.9156730719238,-115.193609295939
"170101010501","Upper South Fork Big Creek",1701010105,"Big Creek",17010101,"Middle Kootenai",48.6009934305803,-115.435941014635
"170101010502","Lower South Fork Big Creek",1701010105,"Big Creek",17010101,"Middle Kootenai",48.6873767142361,-115.493019889393
