"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
170200010611,"Coulee Dam-Franklin D Roosevelt Lake",1702000106,"Hawk Creek-Franklin D Roosevelt Lake",17020001,"Franklin D. Roosevelt Lake",47.954432160106,-118.878389256349
170200050101,"Upper Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.3186939436243,-118.910542414388
170200050102,"Stepstone Creek",1702000501,"Nespelem River",17020005,"Chief Joseph",48.3605637514343,-118.992573998029
170200050103,"Middle Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.2865897531631,-118.986974018518
170200050104,"Mill Creek",1702000501,"Nespelem River",17020005,"Chief Joseph",48.2662177364107,-119.044172307877
170200050105,"Upper Little Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.242188013943,-118.850521502784
170200050106,"Middle Little Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.1629490894588,-118.850872778295
170200050107,"Lower Little Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.1171066046678,-118.89186042014
170200050108,"Lower Nespelem River",1702000501,"Nespelem River",17020005,"Chief Joseph",48.1845479974305,-118.987133390594
170200050201,"Peter Dan Creek",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0128283998175,-118.87781910405
170200050202,"Buffalo Lake",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0590625948717,-118.881292773429
170200050203,"Sanderson Creek-Columbia River",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0009689469116,-119.005308557798
170200050204,"Moses Creek-Columbia River",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0767973893243,-119.014629027146
170200050205,"Coyote Creek",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.2086147537729,-119.122158751957
170200050206,"China Creek",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0892253564417,-119.129422671934
170200050207,"Strahl Canyon",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.0598820735283,-119.184237509982
170200050208,"Hopkins Canyon-Columbia River",1702000502,"Coyote Creek-Columbia River",17020005,"Chief Joseph",48.1563942331547,-119.145898273702
