"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
170200050404,"Jordan Creek-Columbia River",1702000504,"Tumwater Creek-Columbia River",17020005,"Chief Joseph",48.0467540669693,-119.556008436646
170200050405,"Dry Creek-Columbia River",1702000504,"Tumwater Creek-Columbia River",17020005,"Chief Joseph",48.063748705354,-119.668228344897
170200050504,"Watson Draw-Columbia River",1702000505,"Swamp Creek-Columbia River",17020005,"Chief Joseph",48.0790726064331,-119.833353643018
170200050505,"Lake Pateros-Columbia River",1702000505,"Swamp Creek-Columbia River",17020005,"Chief Joseph",47.991307322649,-119.855165470692
170200050507,"Long Draw-Columbia River",1702000505,"Swamp Creek-Columbia River",17020005,"Chief Joseph",47.8846809595307,-119.915140200472
170200060101,"Nine Mile Creek-Okanogan River",1702000601,"Antoine Creek-Okanogan River",17020006,"Okanogan",48.9807963572324,-119.371042253385
170200060102,"Tonasket Creek",1702000601,"Antoine Creek-Okanogan River",17020006,"Okanogan",48.9240334103152,-119.265186526913
170200060104,"Whitestone Creek",1702000601,"Antoine Creek-Okanogan River",17020006,"Okanogan",48.8202925195066,-119.518294504898
170200060107,"Lower Antoine Creek",1702000601,"Antoine Creek-Okanogan River",17020006,"Okanogan",48.7965662618227,-119.30382029023
170200060108,"Mosquito Creek-Okanogan River",1702000601,"Antoine Creek-Okanogan River",17020006,"Okanogan",48.840768357043,-119.404371257576
170200060202,"Lower Siwash Creek",1702000602,"Bonaparte Creek-Okanogan River",17020006,"Okanogan",48.7320660818445,-119.299124664567
170200060205,"Lower Bonaparte Creek",1702000602,"Bonaparte Creek-Okanogan River",17020006,"Okanogan",48.6662237850937,-119.297104065641
170200060206,"Aeneas Creek",1702000602,"Bonaparte Creek-Okanogan River",17020006,"Okanogan",48.7321683273639,-119.559680999657
170200060210,"Lower Tunk Creek",1702000602,"Bonaparte Creek-Okanogan River",17020006,"Okanogan",48.5529746037193,-119.409149295082
170200060211,"Whitestone Coulee-Okanogan River",1702000602,"Bonaparte Creek-Okanogan River",17020006,"Okanogan",48.6569063281906,-119.484887216118
170200060304,"Green Lake-Salmon Creek",1702000603,"Salmon Creek",17020006,"Okanogan",48.4625261215975,-119.686316106669
170200060402,"Alkali Lake-Okanogan River",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.5361474695235,-119.517239876557
170200060405,"Wanacut Creek",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.4402960912812,-119.370774986286
170200060407,"Omak Lake",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.2904273125142,-119.398483387038
170200060408,"Upper Omak Creeek",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.3271249092099,-119.140718044061
170200060409,"Middle Omak Creek",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.3915628746432,-119.23702369163
170200060410,"Lower Omak Creek",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.3637183945182,-119.371482581191
170200060411,"Swipkin Canyon-Okanogan River",1702000604,"Omak Creek-Okanogan River",17020006,"Okanogan",48.4318646066454,-119.50344682167
170200060503,"Lower Loup Loup Creek",1702000605,"Loup Loup Creek-Okanogan River",17020006,"Okanogan",48.3581920123931,-119.731844883171
170200060504,"Tallant Creek-Okanogan River",1702000605,"Loup Loup Creek-Okanogan River",17020006,"Okanogan",48.3382220250385,-119.646342002178
170200060505,"Chiliwist Creek",1702000605,"Loup Loup Creek-Okanogan River",17020006,"Okanogan",48.3185525152549,-119.821066834876
170200060509,"Davis Canyon-Okanogan River",1702000605,"Loup Loup Creek-Okanogan River",17020006,"Okanogan",48.1861651193753,-119.706986991493
170200080103,"Eureka Creek",1702000801,"Lost River",17020008,"Methow",48.7642369019503,-120.553590019683
170200080104,"Lower Lost River",1702000801,"Lost River",17020008,"Methow",48.7560284074758,-120.428486107566
170200080201,"West Fork Methow River",1702000802,"Upper Methow River",17020008,"Methow",48.6403699841319,-120.687510814786
170200080202,"Robinson Creek",1702000802,"Upper Methow River",17020008,"Methow",48.7081879064243,-120.585156951566
170200080203,"Cedar Creek",1702000802,"Upper Methow River",17020008,"Methow",48.5315432404513,-120.518578239111
170200080204,"Early Winters Creek",1702000802,"Upper Methow River",17020008,"Methow",48.5714852484786,-120.591506434884
170200080205,"Rattlesnake Creek-Methow River",1702000802,"Upper Methow River",17020008,"Methow",48.6453401117804,-120.509726458966
170200080302,"Windy Creek",1702000803,"Upper Chewuch River",17020008,"Methow",48.8690325030969,-119.977987414395
170200080303,"Kay Creek-Chewuch River",1702000803,"Upper Chewuch River",17020008,"Methow",48.8690001166468,-120.046323629565
170200080305,"Lake Creek",1702000803,"Upper Chewuch River",17020008,"Methow",48.8164408100341,-120.227924727303
170200080306,"Thirtymile Creek-Chewuch River",1702000803,"Upper Chewuch River",17020008,"Methow",48.7833233944302,-120.043587778189
170200080401,"Twenty Mile Creek",1702000804,"Lower Chewuch River",17020008,"Methow",48.7262625127999,-119.997487028097
170200080403,"Doe Creek-Chewuch River",1702000804,"Lower Chewuch River",17020008,"Methow",48.6877853319124,-120.132230816534
170200080404,"Eight Mile Creek",1702000804,"Lower Chewuch River",17020008,"Methow",48.6920139479014,-120.271916337976
170200080406,"Boulder Creek",1702000804,"Lower Chewuch River",17020008,"Methow",48.5728472258693,-120.084002770851
170200080407,"Cub Creek",1702000804,"Lower Chewuch River",17020008,"Methow",48.5898923471512,-120.25973809276
170200080408,"Pearrygin Creek-Chewuch River",1702000804,"Lower Chewuch River",17020008,"Methow",48.5312907416334,-120.150637668444
170200080501,"Headwaters Twisp River",1702000805,"Twisp River",17020008,"Methow",48.4715762047664,-120.595989366204
170200080502,"South Creek",1702000805,"Twisp River",17020008,"Methow",48.417361658199,-120.596784892076
170200080503,"Upper Twisp River",1702000805,"Twisp River",17020008,"Methow",48.4142453255948,-120.515198042524
170200080504,"War Creek",1702000805,"Twisp River",17020008,"Methow",48.3382878379023,-120.500918045204
170200080505,"Eagle Creek",1702000805,"Twisp River",17020008,"Methow",48.3039390561431,-120.440668188328
170200080506,"Buttermilk Creek",1702000805,"Twisp River",17020008,"Methow",48.2894689729094,-120.34927444769
170200080507,"Middle Twisp River",1702000805,"Twisp River",17020008,"Methow",48.3776873414826,-120.3986017413
170200080508,"Little Bridge Creek",1702000805,"Twisp River",17020008,"Methow",48.4296721722096,-120.353094791849
170200080509,"Lower Twisp River",1702000805,"Twisp River",17020008,"Methow",48.3669460580466,-120.2332946455
170200080601,"Goat Creek",1702000806,"Middle Methow River",17020008,"Methow",48.664829193782,-120.358668754953
170200080602,"Fawn Creek-Methow River",1702000806,"Middle Methow River",17020008,"Methow",48.5511403702264,-120.348466483047
170200080603,"Wolf Creek",1702000806,"Middle Methow River",17020008,"Methow",48.4834080448205,-120.399020053642
170200080604,"Bear Creek",1702000806,"Middle Methow River",17020008,"Methow",48.4825540654094,-120.088948014119
170200080605,"Thompson Creek-Methow River",1702000806,"Middle Methow River",17020008,"Methow",48.4419573450574,-120.194566539971
170200080608,"Lower Beaver Creek",1702000806,"Middle Methow River",17020008,"Methow",48.3934584156187,-120.00224702272
170200080609,"Benson Creek",1702000806,"Middle Methow River",17020008,"Methow",48.3071310862034,-119.961108072032
170200080610,"Alder Creek-Methow River",1702000806,"Middle Methow River",17020008,"Methow",48.3153259173058,-120.087803424573
170200080701,"Libby Creek",1702000807,"Lower Methow River",17020008,"Methow",48.2705842157316,-120.224424230922
170200080702,"Texas Creek-Methow River",1702000807,"Lower Methow River",17020008,"Methow",48.2250068223856,-120.080891185322
170200080703,"South Fork Gold Creek",1702000807,"Lower Methow River",17020008,"Methow",48.1286857381623,-120.19673997424
170200080704,"Gold Creek",1702000807,"Lower Methow River",17020008,"Methow",48.1900245118591,-120.257215550143
170200080706,"McFarland Creek-Methow River",1702000807,"Lower Methow River",17020008,"Methow",48.1357929791212,-120.06884183916
170200080707,"Squaw Creek",1702000807,"Lower Methow River",17020008,"Methow",48.0885159984155,-120.094259462969
170200080708,"Black Canyon Creek",1702000807,"Lower Methow River",17020008,"Methow",48.039558608816,-120.059078962252
170200080709,"Alta Coulee-Methow River",1702000807,"Lower Methow River",17020008,"Methow",48.0506510231263,-119.959165741615
170200100101,"Upper Mad River",1702001001,"Mad River",17020010,"Upper Columbia-Entiat",47.8594707342235,-120.559656679416
170200100102,"Tillicum Creek",1702001001,"Mad River",17020010,"Upper Columbia-Entiat",47.7263798813449,-120.467216721471
170200100103,"Lower Mad River",1702001001,"Mad River",17020010,"Upper Columbia-Entiat",47.7774776562833,-120.457693601064
170200100204,"Lake Creek-Entiat River",1702001002,"Entiat River",17020010,"Upper Columbia-Entiat",47.9512070711299,-120.519749085149
170200100205,"Preston Creek-Entiat River",1702001002,"Entiat River",17020010,"Upper Columbia-Entiat",47.8914452195951,-120.42288029685
170200100207,"Potato Creek-Entiat River",1702001002,"Entiat River",17020010,"Upper Columbia-Entiat",47.8197127201904,-120.381201711363
170200100208,"Roaring Creek",1702001002,"Entiat River",17020010,"Upper Columbia-Entiat",47.6620814653348,-120.405104460755
