"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
1,"1170448461697","Steelhead","Summer","Rearing and migration","1706010303","170601030304",90,3
2,"1171565457145","Steelhead","Summer","Migration only","1706010604","170601060401",85,51
2,"1171565457145","Steelhead","Summer","Migration only","1706010604","170601060403",85,35
2,"1171565457145","Steelhead","Summer","Migration only","1706010604","170601060408",85,39
2,"1171565457145","Steelhead","Summer","Migration only","1706010605","170601060503",85,1
3,"1169884462992","Steelhead","Summer","Rearing and migration","1706010303","170601030304",90,3
3,"1170282460446","Chinook","Spring","Migration only","1702000807","170200080706",46,2
4,"1169845460718","Chinook","Spring","Migration only","1702000601","170200060108",398,10
4,"1172530460346","Steelhead","Summer","Migration only","1706010607","170601060707",83,9
5,"1171999464202","Steelhead","Summer","Rearing and migration","1706010701","170601070101",90,16
6,"1169845460718","Chinook","Spring","Migration only","1702000605","170200060504",398,8
6,"1169845460718","Chinook","Spring","Migration only","1702000605","170200060509",398,73
6,"1170282460446","Steelhead","Summer","Migration only","1706010607","170601060711",83,2
7,"1172530460346","Steelhead","Summer","Migration only","1706010607","170601060709",83,1
8,"1171305462647","Steelhead","Summer","Migration only","1706010302","170601030207",90,2
8,"1176613463148","Chinook","Spring","Migration only","1702000602","170200060211",398,2
9,"1173183460051","Steelhead","Summer","Migration only","1706010607","170601060705",83,15
9,"1174512459454","Chinook","Spring","Migration only","1702000602","170200060211",398,4
9,"1174512459454","Chinook","Spring","Migration only","1706010603","170601060305",13,28
9,"1174512459454","Chinook","Spring","Migration only","1706010603","170601060308",13,36
9,"1174512459454","Chinook","Spring","Migration only","1706010603","170601060312",13,31
10,"1169650462050","Steelhead","Summer","Migration only","1706010303","170601030303",90,1
11,"1169501457778","Steelhead","Summer","Migration only","1706010604","170601060402",85,6
12,"1169852457800","Steelhead","Summer","Migration only","1706010604","170601060402",85,11
12,"1169852457800","Steelhead","Summer","Migration only","1706010604","170601060403",85,1
13,"1170459456730","Steelhead","Summer","Migration only","1706010604","170601060404",85,6
14,"1174145466563","Steelhead","Summer","Spawning and rearing","1706010702","170601070205",90,2
15,"1172368460606","Steelhead","Summer","Migration only","1706010607","170601060708",83,5
15,"1176624462630","Chinook","Spring","Migration only","1702000601","170200060108",398,2
16,"1172913462724","Steelhead","Summer","Migration only","1706010302","170601030201",90,18
16,"1180078465057","Chinook","Spring","Spawning and rearing","1702000602","170200060211",398,3
16,"1180078465057","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,1
17,"1169930457615","Steelhead","Summer","Migration only","1706010604","170601060403",85,20
18,"1172078464499","Steelhead","Summer","Migration only","1706010702","170601070201",90,1
18,"1172078464499","Steelhead","Summer","Migration only","1706010702","170601070202",90,4
18,"1174512459454","Chinook","Spring","Migration only","1702000601","170200060108",398,1
18,"1174512459454","Chinook","Spring","Migration only","1706010603","170601060305",13,7
19,"1171837462670","Steelhead","Summer","Spawning and rearing","1706010302","170601030208",90,1
20,"1172913462724","Steelhead","Summer","Spawning and rearing","1706010302","170601030201",90,41
20,"1172913462724","Steelhead","Summer","Spawning and rearing","1706010302","170601030205",90,4
20,"1182716460767","Chinook","Spring","Migration only","1702000604","170200060411",398,2
21,"1170495457038","Steelhead","Summer","Migration only","1706010604","170601060406",85,14
22,"1172961462622","Steelhead","Summer","Migration only","1706010302","170601030202",90,1
22,"1184113460197","Chinook","Spring","Rearing and migration","1702000806","170200080605",46,58
22,"1184113460197","Chinook","Spring","Rearing and migration","1702000806","170200080610",46,62
22,"1184113460197","Chinook","Spring","Rearing and migration","1702000807","170200080702",46,34
22,"1184113460197","Chinook","Spring","Rearing and migration","1702000807","170200080706",46,61
