"POPID","YEAR","NOSAIJ","NOSAEJ","NOBROODSTOCKREMOVED","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","METAID","JPOPFIT","JPOPFITNOTES","JTOTALNATURAL","JAGE0PROP","JAGE1PROP","JAGE2PROP","JAGE3PROP","JAGE4PLUSPROP","PPOPFIT","PPOPFITNOTES","PABUNDANCE","PAGE0PROP","PAGE1PROP","PAGE2PROP"
1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","",NA,NA,NA,NA
5,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",33448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",6947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",33448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",17398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",28097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",3940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
