"NMFS_POPID","SPAWNINGYEAR","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
1,2012,NA,187,NA,NA,NA,4215,NA,NA
1,2013,NA,187,NA,NA,NA,3126,NA,NA
1,2014,128,128,NA,NA,3028,2547,NA,NA
1,2015,128,67,NA,NA,2961,1797,NA,NA
1,2016,104,47,NA,NA,2416,1322,NA,NA
1,2017,104,43,NA,NA,2251,1363,NA,NA
4,2013,NA,118,NA,NA,NA,297,NA,NA
4,2014,NA,100,NA,NA,NA,233,NA,NA
4,2015,129,114,NA,NA,276,246,NA,NA
4,2016,165,210,NA,NA,327,370,NA,NA
4,2017,135,187,NA,NA,278,287,NA,NA
5,1977,NA,13,NA,NA,NA,130,NA,NA
5,1978,NA,13,NA,NA,NA,134,NA,NA
5,1979,13,15,NA,NA,136,156,NA,NA
5,1980,15,16,NA,NA,146,164,NA,NA
5,1981,14,16,NA,NA,146,162,NA,NA
5,1982,16,20,NA,NA,166,202,NA,NA
5,1983,16,20,NA,NA,163,199,NA,NA
5,1984,17,19,NA,NA,172,189,NA,NA
5,1985,16,15,NA,NA,158,152,NA,NA
5,1986,16,15,NA,NA,157,152,NA,NA
5,1987,17,14,NA,NA,170,143,NA,NA
5,1988,17,15,NA,NA,174,152,NA,NA
5,1989,18,18,NA,NA,185,182,NA,NA
5,1990,17,18,NA,NA,166,182,NA,NA
5,1991,16,18,NA,NA,164,177,NA,NA
5,1992,15,15,NA,NA,144,145,NA,NA
5,1993,14,14,NA,NA,142,133,NA,NA
5,1994,14,10,NA,NA,133,98,NA,NA
5,1995,14,10,NA,NA,135,100,NA,NA
5,1996,15,13,NA,NA,152,129,NA,NA
5,1997,13,12,NA,NA,129,114,NA,NA
5,1998,12,11,NA,NA,120,108,NA,NA
5,1999,11,12,NA,NA,108,120,NA,NA
5,2000,12,15,NA,NA,122,150,NA,NA
5,2001,13,13,NA,NA,132,134,NA,NA
5,2002,15,19,NA,NA,148,191,NA,NA
5,2003,17,26,NA,NA,169,265,NA,NA
5,2004,18,27,NA,NA,180,269,NA,NA
5,2005,18,22,NA,NA,183,222,NA,NA
5,2006,14,15,NA,NA,144,154,NA,NA
5,2007,15,11,NA,NA,149,116,NA,NA
5,2008,15,8,NA,NA,149,84,NA,NA
5,2009,18,12,NA,NA,157,91,NA,NA
5,2010,17,13,NA,NA,143,91,NA,NA
5,2011,16,16,NA,NA,135,118,NA,NA
5,2012,13,16,NA,NA,115,114,NA,NA
5,2013,10,13,NA,NA,90,96,NA,NA
5,2014,10,8,NA,NA,86,82,NA,NA
5,2015,9,7,NA,NA,84,77,NA,NA
5,2016,10,6,NA,NA,89,67,NA,NA
5,2017,10,5,NA,NA,89,64,NA,NA
6,1967,NA,NA,NA,NA,NA,131,NA,NA
6,1968,NA,NA,NA,NA,NA,131,NA,NA
6,1969,NA,NA,NA,NA,122,98,NA,NA
6,1970,NA,NA,NA,NA,113,98,NA,NA
6,1971,NA,NA,NA,NA,148,150,NA,NA
6,1972,NA,NA,NA,NA,179,229,NA,NA
6,1973,NA,NA,NA,NA,184,259,NA,NA
6,1974,NA,NA,NA,NA,169,292,NA,NA
6,1975,NA,NA,NA,NA,194,387,NA,NA
6,1976,NA,NA,NA,NA,228,345,NA,NA
6,1977,NA,NA,NA,NA,257,288,NA,NA
6,1978,NA,NA,NA,NA,273,288,NA,NA
6,1979,NA,NA,NA,NA,314,338,NA,NA
