PopID,DataSource,DataVersion,DataUpdated,ESApopName,PopName,MPG,ESU,Species,MAT,CT,Delist,Delist_Class,Size,Priority,Pop_Status,Data_Status,PopFit,Hatchery_Type,Data_Attribution_Source,Data_Link,CA,SPS,Include_In_Tool
3,,,,Chinook Salmon (Lower Columbia River ESU) - Cispus River Spring-run,Cispus River,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,, ,,,4,,,,,,,,,
6,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,900,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
11,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,500,Contributing,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
12,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run,Kalama River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,300,Contributing,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,,TRUE,TRUE
13,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright,Lewis River Bright,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,7300,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
14,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run,Lewis River Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1500,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
15,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,3000,Contributing,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
18,Coordinated Assessments,,11/19/2016,Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run,North Fork Lewis River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1500,Primary,,4,Extant,,,,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,,TRUE
19,,,,Chinook Salmon (Lower Columbia River ESU) - Salmon Creek Fall-run,Salmon Creek Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,,,,4,,,,,,,,,
20,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright,Sandy River Bright,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,3561,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
21,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,Chinook Salmon (Lower Columbia River ESU) - Sandy River Fall-run,Sandy River Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1031,Contributing,,4,Extant,,,,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,,TRUE
22,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Sandy River Spring-run,Sandy River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,7871,1230,,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
24,,,,Chinook Salmon (Lower Columbia River ESU) - Tilton River Spring-run,Tilton River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,100,Stabilizing,,,Extant,,,,,,,,
25,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run,Toutle River Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,4000,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
26,,,,Chinook Salmon (Lower Columbia River ESU) - Toutle River Spring-run,Toutle River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1100,Contributing,,,Extant,,,,,,,,
27,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run,Upper Cowlitz River Fall,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,0,Stabilizing,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
28,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Spring-run,Upper Cowlitz River Spring,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1800,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
30,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run,Washougal River,Cascade,Lower Columbia River Chinook Salmon ESU,Chinook,,,1200,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
110,,,,Chum Salmon (Columbia River ESU) - Big Creek,Big Creek,,Columbia River Chum Salmon ESU,Chum,,,500,Stabilizing,,,Extant,,,,,,,,TRUE
111,,,,Chum Salmon (Columbia River ESU) - Clackamas River,Clackamas River,,Columbia River Chum Salmon ESU,Chum,,,500,Contributing,,,Extant,,,,,,,,TRUE
112,,,,Chum Salmon (Columbia River ESU) - Clatskanie River,Clatskanie River,,Columbia River Chum Salmon ESU,Chum,,,1000,Primary,,,Extant,,,,,,,,TRUE
113,,,,Chum Salmon (Columbia River ESU) - Cowlitz River,Cowlitz River,Cascade,Columbia River Chum Salmon ESU,Chum,,,900,Contributing,,4,Extant,,,,,,,,TRUE
114,,,,Chum Salmon (Columbia River ESU) - Elochoman River,Elochoman River,,Columbia River Chum Salmon ESU,Chum,,,1300,Primary,,,Extant,,,,,,,,TRUE
115,,,,Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers,Grays & Chinook Rivers,,Columbia River Chum Salmon ESU,Chum,,,1600,Primary,,,Extant,,,,,,,,TRUE
116,,,,Chum Salmon (Columbia River ESU) - Kalama River,Kalama River,Cascade,Columbia River Chum Salmon ESU,Chum,,,900,Contributing,,4,Extant,,,,,,,,TRUE
117,,,,Chum Salmon (Columbia River ESU) - Lewis River, Lewis River,Cascade,Columbia River Chum Salmon ESU,Chum,,,1300,Primary,,4,Extant,,,,,,,,TRUE
118,,,,Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries, Lower Gorge Tributaries,,Columbia River Chum Salmon ESU,Chum,,,2000,Primary,,,Extant,,,,,,,,TRUE
119,,,,Chum Salmon (Columbia River ESU) - Mill Creek,Mill Creek,,Columbia River Chum Salmon ESU,Chum,,,1300,Primary,,,Extant,,,,,,,,TRUE
120,,,,Chum Salmon (Columbia River ESU) - Salmon Creek,Salmon Creek,Cascade,Columbia River Chum Salmon ESU,Chum,,,0,Stabilizing,,4,,,,,,,,,TRUE
121,,,,Chum Salmon (Columbia River ESU) - Sandy River,Sandy River,Cascade,Columbia River Chum Salmon ESU,Chum,,,1000,Primary,,4,Extant,,,,,,,,TRUE
122,,,,Chum Salmon (Columbia River ESU) - Scappoose River, Scappoose River,,Columbia River Chum Salmon ESU,Chum,,,1000,Primary,,,Extant,,,,,,,,TRUE
123,,,,Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries,Upper Gorge Tributaries,,Columbia River Chum Salmon ESU,Chum,,,900,Contributing,,,Extant,,,,,,,,TRUE
124,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chum Salmon (Columbia River ESU) - Washougal River,Washougal River,Cascade,Columbia River Chum Salmon ESU,Chum,,,1300,Primary,None,4,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
