"NMFS_POPID","SPAWNINGYEAR","NOSAIJ","NOSAEJ","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","ext_datasource","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
1,2012,NA,55,NA,0.95,NA,NA,NA,1096,NA,NA,NA,NA,NA,NA,"CAX",NA,187,NA,NA,NA,4215,NA,NA
1,2013,NA,0,NA,1,NA,NA,NA,946,NA,NA,NA,NA,NA,NA,"CAX",NA,187,NA,NA,NA,3126,NA,NA
1,2014,NA,41,NA,0.984,NA,NA,NA,2583,NA,NA,NA,NA,NA,NA,"CAX",128,128,NA,NA,3028,2547,NA,NA
1,2015,NA,0,NA,1,NA,NA,NA,2586,NA,NA,NA,NA,NA,NA,"CAX",128,67,NA,NA,2961,1797,NA,NA
1,2016,NA,45,NA,0.923,NA,NA,NA,582,NA,NA,NA,NA,NA,NA,"CAX",104,47,NA,NA,2416,1322,NA,NA
1,2017,NA,0,NA,1,NA,NA,NA,1279,NA,NA,NA,NA,NA,NA,"CAX",104,43,NA,NA,2251,1363,NA,NA
100,1963,562,334,0,0,0.405,0.405,562,334,0,0.405,0.401,0.194,0,0,"SPS",NA,301,NA,373,NA,301,NA,373
100,1964,1489,1364,0,0,0.084,0.084,1489,1364,0,0.084,0.617,0.299,0,0,"SPS",NA,407,NA,492,NA,407,NA,492
100,1965,403,289,0,0,0.283,0.283,403,289,0,0.283,0.483,0.234,0,0,"SPS",385,383,476,481,385,383,476,481
100,1966,1190,1034,0,0,0.131,0.131,1190,1034,0,0.131,0.585,0.283,0,0,"SPS",443,556,543,709,443,556,543,709
100,1967,977,806,0,0,0.175,0.175,977,806,0,0.175,0.556,0.269,0,0,"SPS",477,643,584,829,477,643,584,829
100,1968,977,852,0,0,0.128,0.128,977,852,0,0.128,0.587,0.284,0,0,"SPS",509,775,619,926,509,775,619,926
100,1969,322,303,0,0,0.058,0.058,322,303,0,0.058,0.635,0.307,0,0,"SPS",483,574,579,682,483,574,579,682
100,1970,271,227,0,0,0.164,0.164,271,227,0,0.164,0.564,0.273,0,0,"SPS",457,547,550,630,457,547,550,630
100,1971,527,432,0,0,0.18,0.18,527,432,0,0.18,0.552,0.267,0,0,"SPS",505,459,616,535,505,459,616,535
100,1972,236,225,0,0,0.045,0.045,236,225,0,0.045,0.643,0.311,0,0,"SPS",478,356,578,403,478,356,578,403
100,1973,888,791,0,0,0.109,0.109,888,791,0,0.109,0.601,0.29,0,0,"SPS",521,350,605,395,521,350,605,395
100,1974,341,332,0,0,0.025,0.025,341,332,0,0.025,0.657,0.318,0,0,"SPS",453,357,522,400,453,357,522,400
100,1975,605,570,0,0,0.058,0.058,605,570,0,0.058,0.635,0.307,0,0,"SPS",484,429,544,469,484,429,544,469
100,1976,182,101,0,0,0.447,0.447,182,101,0,0.447,0.373,0.18,0,0,"SPS",384,321,451,379,384,321,451,379
100,1977,688,647,0,0,0.059,0.059,688,647,0,0.059,0.634,0.307,0,0,"SPS",375,396,435,470,375,396,435,470
