"SurveyYear","TRT_POP","Latitude","Longitude","CountNew"
2001,"Lemhi River",44.799,-113.697,1
2001,"Lemhi River",44.804,-113.692,1
2001,"Lemhi River",44.789,-113.703,1
2001,"Lemhi River",44.789,-113.703,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.803,-113.694,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.807,-113.689,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.802,-113.694,1
2001,"Lemhi River",44.808,-113.689,1
2001,"Lemhi River",44.807,-113.689,1
2001,"Lemhi River",44.788,-113.703,1
2001,"Lemhi River",44.804,-113.692,1
2001,"Lemhi River",44.807,-113.689,1
2001,"Lemhi River",44.789,-113.703,1
2001,"Lemhi River",44.809,-113.688,1
2001,"Lemhi River",44.803,-113.693,1
2001,"Lemhi River",44.788,-113.703,1
2001,"Lemhi River",44.803,-113.693,1
2001,"Lemhi River",44.807,-113.69,1
2001,"Lemhi River",44.812,-113.687,1
2001,"Lemhi River",44.803,-113.694,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.819,-113.681,1
2001,"Lemhi River",44.807,-113.689,1
2001,"Lemhi River",44.797,-113.697,1
2001,"Lemhi River",44.814,-113.683,1
2001,"Lemhi River",44.789,-113.703,1
2001,"Lemhi River",44.801,-113.696,1
2001,"South Fork Salmon River Mainstem",44.646,-115.707,1
2001,"South Fork Salmon River Mainstem",44.644,-115.709,1
2001,"South Fork Salmon River Mainstem",44.649,-115.703,1
2001,"South Fork Salmon River Mainstem",44.647,-115.705,2
2001,"South Fork Salmon River Mainstem",44.65,-115.703,1
2001,"South Fork Salmon River Mainstem",44.641,-115.71,1
2001,"South Fork Salmon River Mainstem",44.65,-115.703,2
2001,"South Fork Salmon River Mainstem",44.645,-115.707,1
2001,"Chamberlain Creek",45.369,-115.192,1
2001,"Bear Valley Creek",44.427,-115.327,1
2001,"Bear Valley Creek",44.428,-115.324,1
2001,"Bear Valley Creek",44.428,-115.311,1
2001,"Bear Valley Creek",44.428,-115.324,1
2001,"Bear Valley Creek",44.427,-115.327,1
2001,"Bear Valley Creek",44.427,-115.326,1
2001,"Bear Valley Creek",44.429,-115.325,1
2001,"Lemhi River",44.777,-113.743,1
2001,"Lemhi River",44.776,-113.743,1
2001,"East Fork South Fork Salmon River",44.937,-115.323,1
2001,"East Fork South Fork Salmon River",44.934,-115.328,1
2001,"East Fork South Fork Salmon River",44.935,-115.326,1
2001,"East Fork South Fork Salmon River",44.935,-115.327,1
2001,"East Fork South Fork Salmon River",44.935,-115.327,1
2001,"East Fork South Fork Salmon River",44.934,-115.328,1
2001,"East Fork South Fork Salmon River",44.937,-115.323,1
2001,"East Fork South Fork Salmon River",44.934,-115.329,1
2001,"East Fork South Fork Salmon River",44.937,-115.323,1
2001,"East Fork South Fork Salmon River",44.937,-115.324,1
2001,"East Fork South Fork Salmon River",44.934,-115.329,1
2001,"South Fork Salmon River Mainstem",44.664,-115.7,1
2001,"South Fork Salmon River Mainstem",44.654,-115.702,2
2001,"South Fork Salmon River Mainstem",44.664,-115.7,2
2001,"South Fork Salmon River Mainstem",44.665,-115.698,1
2001,"South Fork Salmon River Mainstem",44.665,-115.698,1
2001,"South Fork Salmon River Mainstem",44.666,-115.696,1
2001,"South Fork Salmon River Mainstem",44.665,-115.681,1
2001,"South Fork Salmon River Mainstem",44.664,-115.7,1
2001,"South Fork Salmon River Mainstem",44.664,-115.699,1
2001,"South Fork Salmon River Mainstem",44.657,-115.701,2
2001,"South Fork Salmon River Mainstem",44.666,-115.687,1
2001,"South Fork Salmon River Mainstem",44.666,-115.696,1
2001,"South Fork Salmon River Mainstem",44.666,-115.696,1
2001,"South Fork Salmon River Mainstem",44.665,-115.697,1
2001,"South Fork Salmon River Mainstem",44.662,-115.699,1
2001,"South Fork Salmon River Mainstem",44.663,-115.7,2
2001,"South Fork Salmon River Mainstem",44.66,-115.698,1
2001,"Big Creek",45.1,-115.33,1
2001,"South Fork Salmon River Mainstem",44.65,-115.702,1
2001,"South Fork Salmon River Mainstem",44.65,-115.702,1
2001,"South Fork Salmon River Mainstem",44.665,-115.682,1
2001,"South Fork Salmon River Mainstem",44.666,-115.686,1
2001,"South Fork Salmon River Mainstem",44.666,-115.695,1
2001,"South Fork Salmon River Mainstem",44.665,-115.697,1
2001,"South Fork Salmon River Mainstem",44.662,-115.699,1
2001,"South Fork Salmon River Mainstem",44.665,-115.699,2
2001,"South Fork Salmon River Mainstem",44.658,-115.701,2
2001,"Big Creek",45.11,-115.314,1
2001,"Big Creek",45.104,-115.317,1
2001,"Big Creek",45.086,-115.338,1
2001,"South Fork Salmon River Mainstem",44.641,-115.694,1
2001,"South Fork Salmon River Mainstem",44.632,-115.694,2
2001,"South Fork Salmon River Mainstem",44.643,-115.694,1
2001,"South Fork Salmon River Mainstem",44.65,-115.703,2
2001,"South Fork Salmon River Mainstem",44.666,-115.695,1
2001,"South Fork Salmon River Mainstem",44.658,-115.701,1
2001,"South Fork Salmon River Mainstem",44.665,-115.701,1
2001,"South Fork Salmon River Mainstem",44.656,-115.702,1
2001,"Big Creek",45.108,-115.315,1
2001,"Big Creek",45.1,-115.33,1
2001,"Big Creek",45.107,-115.331,1
2001,"South Fork Salmon River Mainstem",44.65,-115.7,1
2001,"South Fork Salmon River Mainstem",44.653,-115.7,1
2001,"South Fork Salmon River Mainstem",44.651,-115.697,1
2001,"South Fork Salmon River Mainstem",44.645,-115.695,1
2001,"South Fork Salmon River Mainstem",44.663,-115.701,2
2001,"South Fork Salmon River Mainstem",44.663,-115.699,2
2001,"South Fork Salmon River Mainstem",44.665,-115.698,2
2001,"Big Creek",45.108,-115.327,1
2001,"Big Creek",45.108,-115.327,1
2001,"Big Creek",45.107,-115.327,1
2001,"Chamberlain Creek",45.37,-115.202,1
2001,"Chamberlain Creek",45.381,-115.173,1
