OBJECTID,Year,Species,Pop,Latitude,Longitude,Count 
1,2009,Spring Chinook,Catherine Creek,45.1395172,-117.7205574,1
2,2009,Spring Chinook,Catherine Creek,45.13538829,-117.7136441,1
3,2009,Spring Chinook,Catherine Creek,45.15032,-117.74872,1
4,2009,Spring Chinook,Catherine Creek,45.1517,-117.74589,1
5,2009,Spring Chinook,Catherine Creek,45.15173,-117.74551,1
6,2009,Spring Chinook,Catherine Creek,45.15178,-117.74557,1
7,2009,Spring Chinook,Catherine Creek,45.15213,-117.74306,1
8,2009,Spring Chinook,Catherine Creek,45.15182,-117.74113,1
9,2009,Spring Chinook,Catherine Creek,45.15083,-117.73645,1
10,2009,Spring Chinook,Catherine Creek,45.15196,-117.75591,1
11,2009,Spring Chinook,Catherine Creek,45.14027973,-117.7211164,1
12,2009,Spring Chinook,Catherine Creek,45.14426,-117.72483,1
13,2009,Spring Chinook,Catherine Creek,45.13794152,-117.7197891,1
14,2009,Spring Chinook,Catherine Creek,45.13759816,-117.7189172,1
15,2009,Spring Chinook,Catherine Creek,45.13736472,-117.7190206,1
16,2009,Spring Chinook,Catherine Creek,45.1372334,-117.7187477,1
17,2009,Spring Chinook,Catherine Creek,45.13722989,-117.718668,1
18,2009,Spring Chinook,Catherine Creek,45.13714495,-117.7185338,1
19,2009,Spring Chinook,Catherine Creek,45.13677633,-117.7177292,1
20,2009,Spring Chinook,Catherine Creek,45.13663759,-117.7174708,1
21,2009,Spring Chinook,Catherine Creek,45.13537762,-117.7136949,1
22,2009,Spring Chinook,Catherine Creek,45.14748,-117.734,1
23,2009,Spring Chinook,Catherine Creek,45.1685,-117.7996,1
24,2009,Spring Chinook,Catherine Creek,45.12162,-117.64446,1
25,2009,Spring Chinook,Catherine Creek,45.19143855,-117.8306146,1
26,2009,Spring Chinook,Catherine Creek,45.18991841,-117.8276835,1
27,2009,Spring Chinook,Catherine Creek,45.19055695,-117.8280582,1
28,2009,Spring Chinook,Catherine Creek,45.1905307,-117.8280705,1
29,2009,Spring Chinook,Catherine Creek,45.17404,-117.80748,1
30,2009,Spring Chinook,Catherine Creek,45.17392,-117.80752,1
31,2009,Spring Chinook,Catherine Creek,45.17286,-117.80669,1
32,2009,Spring Chinook,Catherine Creek,45.15115,-117.75321,1
33,2009,Spring Chinook,Catherine Creek,45.17128,-117.80262,1
34,2009,Spring Chinook,Catherine Creek,45.12263311,-117.693852,1
35,2009,Spring Chinook,Catherine Creek,45.15499,-117.78112,1
36,2009,Spring Chinook,Catherine Creek,45.15492,-117.78085,1
37,2009,Spring Chinook,Catherine Creek,45.15477,-117.78078,1
38,2009,Spring Chinook,Catherine Creek,45.15513,-117.77801,1
39,2009,Spring Chinook,Catherine Creek,45.1555,-117.77592,1
40,2009,Spring Chinook,Catherine Creek,45.15561,-117.77578,1
41,2009,Spring Chinook,Catherine Creek,45.15237,-117.76381,1
42,2009,Spring Chinook,Catherine Creek,45.15229,-117.76134,1
43,2009,Spring Chinook,Catherine Creek,45.1444,-117.72576,1
44,2009,Spring Chinook,Catherine Creek,45.17174,-117.80405,1
45,2009,Spring Chinook,Catherine Creek,45.1196,-117.64198,1
46,2009,Spring Chinook,Catherine Creek,45.11613095,-117.6741702,1
47,2009,Spring Chinook,Catherine Creek,45.11386734,-117.6694347,1
48,2009,Spring Chinook,Catherine Creek,45.11478595,-117.6668478,1
49,2009,Spring Chinook,Catherine Creek,45.11455766,-117.6662941,1
50,2009,Spring Chinook,Catherine Creek,45.11606556,-117.6640895,1
51,2009,Spring Chinook,Catherine Creek,45.11869041,-117.6580682,1
52,2009,Spring Chinook,Catherine Creek,45.11877119,-117.6573243,1
53,2009,Spring Chinook,Catherine Creek,45.11896285,-117.6569037,1
54,2009,Spring Chinook,Catherine Creek,45.11903806,-117.6564859,1
55,2009,Spring Chinook,Catherine Creek,45.11613165,-117.6746333,1
56,2009,Spring Chinook,Catherine Creek,45.13478723,-117.7121934,1
57,2009,Spring Chinook,Catherine Creek,45.11946,-117.64215,1
58,2009,Spring Chinook,Catherine Creek,45.14972,-117.73558,1
59,2009,Spring Chinook,Catherine Creek,45.11683,-117.63872,1
60,2009,Spring Chinook,Catherine Creek,45.13124,-117.63023,1
61,2009,Spring Chinook,Catherine Creek,45.13108,-117.62902,1
62,2009,Spring Chinook,Catherine Creek,45.13997,-117.62281,1
63,2009,Spring Chinook,Catherine Creek,45.14013,-117.62273,1
64,2009,Spring Chinook,Catherine Creek,45.14085,-117.6225,1
65,2009,Spring Chinook,Catherine Creek,45.14096,-117.62258,1
66,2009,Spring Chinook,Catherine Creek,45.12586,-117.63802,1
67,2009,Spring Chinook,Catherine Creek,45.11952,-117.64673,1
68,2009,Spring Chinook,Catherine Creek,45.12482022,-117.6998444,1
69,2009,Spring Chinook,Catherine Creek,45.11683,-117.64056,1
70,2009,Spring Chinook,Catherine Creek,45.11695067,-117.680674,1
71,2009,Spring Chinook,Catherine Creek,45.13112413,-117.7081735,1
72,2009,Spring Chinook,Catherine Creek,45.13027234,-117.7062167,1
73,2009,Spring Chinook,Catherine Creek,45.12900838,-117.7053095,1
74,2009,Spring Chinook,Catherine Creek,45.12505847,-117.7006647,1
75,2009,Spring Chinook,Catherine Creek,45.13328941,-117.7103676,1
76,2009,Spring Chinook,Catherine Creek,45.1230701,-117.6989608,1
77,2009,Spring Chinook,Catherine Creek,45.12314558,-117.6980198,1
78,2009,Spring Chinook,Catherine Creek,45.12310632,-117.6974895,1
79,2009,Spring Chinook,Catherine Creek,45.12319979,-117.6973617,1
80,2009,Spring Chinook,Catherine Creek,45.11819632,-117.6869152,1
81,2009,Spring Chinook,Catherine Creek,45.11707693,-117.6838881,1
82,2009,Spring Chinook,Catherine Creek,45.12667992,-117.7020255,1
83,2009,Spring Chinook,Catherine Creek,45.12268548,-117.6969164,1
